2018-02-19_07-25-11 Bergweg 2 95182 Döhlau.png,0
2018-02-19_07-25-12 Bergweg 3 95182 Döhlau.png,0
2018-02-19_07-25-13 Bergweg 4 95182 Döhlau.png,0
2018-02-19_07-25-14 Bergweg 5 95182 Döhlau.png,0
2018-02-19_07-25-16 Bergweg 6 95182 Döhlau.png,1
2018-02-19_07-25-17 Bergweg 7 95182 Döhlau.png,0
2018-02-19_07-25-18 Bergweg 8 95182 Döhlau.png,1
2018-02-19_07-25-19 Bergweg 9 95182 Döhlau.png,0
2018-02-19_07-25-21 Bergweg 10 95182 Döhlau.png,1
2018-02-19_07-25-22 Bergweg 11 95182 Döhlau.png,0
2018-02-19_07-25-23 Bergweg 12 95182 Döhlau.png,0
2018-02-19_07-25-24 Bergweg 13 95182 Döhlau.png,0
2018-02-19_07-25-26 Bergweg 14 95182 Döhlau.png,1
2018-02-19_07-25-27 Bergweg 15 95182 Döhlau.png,1
2018-02-19_07-25-28 Bergweg 16 95182 Döhlau.png,0
2018-02-19_07-25-30 Bergweg 17 95182 Döhlau.png,1
2018-02-19_07-25-31 Bergweg 18 95182 Döhlau.png,0
2018-02-19_07-25-32 Bergweg 19 95182 Döhlau.png,0
2018-02-19_07-25-33 Bergweg 20 95182 Döhlau.png,0
2018-02-19_07-25-35 Bergweg 21 95182 Döhlau.png,0
2018-02-19_07-25-36 Wiesenweg 9 95182 Döhlau.png,1
2018-02-19_07-25-37 Wiesenweg 10 95182 Döhlau.png,0
2018-02-19_07-25-39 Wiesenweg 11 95182 Döhlau.png,0
2018-02-19_07-25-40 Wiesenweg 12 95182 Döhlau.png,0
2018-02-19_07-25-41 Wiesenweg 13 95182 Döhlau.png,0
2018-02-19_07-25-43 Wiesenweg 14 95182 Döhlau.png,1
2018-02-19_07-25-44 Wiesenweg 15 95182 Döhlau.png,0
2018-02-19_07-25-45 Wiesenweg 16 95182 Döhlau.png,1
2018-02-19_07-25-47 Wiesenweg 17 95182 Döhlau.png,1
2018-02-19_07-25-48 Wiesenweg 18 95182 Döhlau.png,1
2018-02-19_07-25-49 Wiesenweg 19 95182 Döhlau.png,0
2018-02-19_07-25-50 Wiesenweg 20 95182 Döhlau.png,1
2018-02-19_07-25-52 Wiesenweg 21 95182 Döhlau.png,1
2018-02-19_07-25-54 Wiesenweg 23 95182 Döhlau.png,0
2018-02-19_07-25-57 Wiesenweg 25 95182 Döhlau.png,0
2018-02-19_07-25-59 Wiesenweg 27 95182 Döhlau.png,0
2018-02-19_07-26-02 MartinLutherStraße 1 95182 Döhlau.png,1
2018-02-19_07-26-03 MartinLutherStraße 2 95182 Döhlau.png,0
2018-02-19_07-26-05 MartinLutherStraße 3 95182 Döhlau.png,0
2018-02-19_07-26-06 MartinLutherStraße 4 95182 Döhlau.png,1
2018-02-19_07-26-07 MartinLutherStraße 5 95182 Döhlau.png,0
2018-02-19_07-26-08 MartinLutherStraße 6 95182 Döhlau.png,0
2018-02-19_07-26-10 MartinLutherStraße 7 95182 Döhlau.png,0
