2018-03-02_20-27-35 Steingadener Str 1 86879 Wiedergeltingen.png,0
2018-03-02_20-27-36 Steingadener Str 2 86879 Wiedergeltingen.png,1
2018-03-02_20-27-38 Steingadener Str 3 86879 Wiedergeltingen.png,0
2018-03-02_20-27-39 Steingadener Str 4 86879 Wiedergeltingen.png,0
2018-03-02_20-27-40 Steingadener Str 5 86879 Wiedergeltingen.png,1
2018-03-02_20-27-42 Steingadener Str 6 86879 Wiedergeltingen.png,0
2018-03-02_20-27-43 Steingadener Str 7 86879 Wiedergeltingen.png,1
2018-03-02_20-27-45 Steingadener Str 8 86879 Wiedergeltingen.png,0
2018-03-02_20-27-46 Steingadener Str 9 86879 Wiedergeltingen.png,0
2018-03-02_20-27-47 Steingadener Str 10 86879 Wiedergeltingen.png,0
2018-03-02_20-27-48 Steingadener Str 11 86879 Wiedergeltingen.png,0
2018-03-02_20-27-50 Steingadener Str 12 86879 Wiedergeltingen.png,0
2018-03-02_20-27-51 Steingadener Str 13 86879 Wiedergeltingen.png,0
2018-03-02_20-27-53 Steingadener Str 14 86879 Wiedergeltingen.png,2
2018-03-02_20-27-54 Steingadener Str 15 86879 Wiedergeltingen.png,1
2018-03-02_20-27-55 Steingadener Str 16 86879 Wiedergeltingen.png,0
2018-03-02_20-27-57 Steingadener Str 17 86879 Wiedergeltingen.png,1
2018-03-02_20-27-58 Steingadener Str 18 86879 Wiedergeltingen.png,0
2018-03-02_20-27-59 Steingadener Str 19 86879 Wiedergeltingen.png,0
2018-03-02_20-28-01 Steingadener Str 20 86879 Wiedergeltingen.png,0
2018-03-02_20-28-13 Kapellenweg 1 86879 Wiedergeltingen.png,0
2018-03-02_20-28-14 Kapellenweg 2 86879 Wiedergeltingen.png,1
2018-03-02_20-28-16 Kapellenweg 3 86879 Wiedergeltingen.png,0
2018-03-02_20-28-17 Kapellenweg 4 86879 Wiedergeltingen.png,1
2018-03-02_20-28-18 Kapellenweg 5 86879 Wiedergeltingen.png,1
2018-03-02_20-28-19 Kapellenweg 6 86879 Wiedergeltingen.png,1
2018-03-02_20-28-21 Kapellenweg 7 86879 Wiedergeltingen.png,0
2018-03-02_20-28-22 Kapellenweg 8 86879 Wiedergeltingen.png,0
2018-03-02_20-28-23 Kapellenweg 9 86879 Wiedergeltingen.png,0
2018-03-02_20-28-24 Kapellenweg 10 86879 Wiedergeltingen.png,0
2018-03-02_20-28-26 Kapellenweg 11 86879 Wiedergeltingen.png,0
2018-03-02_20-28-27 Kapellenweg 12 86879 Wiedergeltingen.png,1
2018-03-02_20-28-28 Kapellenweg 13 86879 Wiedergeltingen.png,0
2018-03-02_20-28-29 Kapellenweg 14 86879 Wiedergeltingen.png,1
2018-03-02_20-28-30 Kapellenweg 15 86879 Wiedergeltingen.png,0
2018-03-02_20-28-33 Kapellenweg 17 86879 Wiedergeltingen.png,0
